permit_id,permit_type,zone,project_value_m,missing_documents,reviewer_queue,prior_revisions,contractor_approved_count,delay_risk
577,civil,urban,2.53,2,32,1,5,0
578,tenant_improvement,historic,4.13,4,28,0,2,1
579,commercial,coastal,2.11,2,20,3,8,0
580,tenant_improvement,historic,2.74,1,4,1,23,1
581,tenant_improvement,urban,1.43,3,9,0,2,0
582,civil,urban,0.25,3,36,0,3,1
583,commercial,urban,4.28,3,22,1,7,0
584,civil,suburban,0.92,1,4,0,21,0
585,tenant_improvement,historic,3.08,4,20,3,4,0
586,commercial,historic,4.13,4,30,2,11,1
587,commercial,urban,2.92,2,29,2,4,1
588,residential,suburban,2.29,3,37,0,22,0
589,civil,coastal,0.14,3,21,1,0,1
590,commercial,historic,5.74,3,28,1,5,1
591,civil,historic,1.5,0,30,1,16,0
592,tenant_improvement,coastal,4.24,4,20,3,6,1
593,commercial,suburban,1.94,3,31,2,22,1
594,commercial,coastal,0.2,0,37,0,5,0
595,tenant_improvement,coastal,0.88,3,3,1,2,1
596,civil,suburban,2.28,2,34,2,14,0
597,residential,coastal,0.6,1,6,2,24,0
598,civil,suburban,1.31,2,27,0,3,0
599,commercial,historic,5.03,3,18,0,6,1
600,residential,suburban,3.12,2,23,1,20,0
